City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hithadhoo,MV,81.16,scattered clouds,-0.6,73.0833,Scoop Guest House
8,Sao Filipe,CV,78.6,light rain,14.8961,-24.4956,Hotel Xaguate
14,Barahona,DO,79.39,clear sky,18.2085,-71.1008,Hotel Caribe
15,Lompoc,US,79.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
19,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
22,Port Said,EG,79.54,clear sky,31.2565,32.2841,Aracan Hotel
24,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
35,Quezon,PH,87.58,overcast clouds,7.7303,125.0989,LIBRE INN
46,Luganville,VU,79.25,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
52,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Derzhavinsk,KZ,78.66,clear sky,51.1,66.3167,Ooo.khim Baza
66,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
69,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
70,Hasaki,JP,81.28,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
72,Bac Lieu,VN,86.85,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
73,Dingle,PH,86.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
80,Malpe,IN,81.7,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
83,Itarema,BR,77.7,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
84,Hami,CN,80.31,clear sky,42.8,93.45,Laoyutang Resort
92,Aquiraz,BR,79.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
95,Guerrero Negro,MX,80.46,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
100,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
101,Abashiri,JP,75.49,broken clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
104,Soc Trang,VN,86.85,overcast clouds,9.6033,105.98,Phu Quy Hotel
112,Korla,CN,76.37,clear sky,41.7597,86.1469,Gulisitan Hotel
113,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
114,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
116,Alugan,PH,86.79,overcast clouds,12.2188,125.4808,JM Lodge
119,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
122,George Town,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
125,Shingu,JP,84.38,few clouds,33.7333,135.9833,Shingu UI Hotel
128,Puerto Madero,MX,75.4,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
131,Yining,CN,83.14,clear sky,29.0361,114.5636,Xiushui Hotel
135,Houma,US,78.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
137,Kouqian,CN,75.0,clear sky,43.6391,126.4578,Guotai Bathing Hotel
139,Cabo San Lucas,MX,82.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Naze,JP,85.12,moderate rain,28.3667,129.4833,Shishime Hotel
142,Aswan,EG,85.21,clear sky,24.0934,32.907,Nuba Nile
143,Bandarbeyla,SO,76.6,broken clouds,9.4942,50.8122,JABIR HOTEL
144,Hongjiang,CN,83.32,few clouds,27.11,109.9956,洪江大酒店
145,Carutapera,BR,75.06,clear sky,-1.195,-46.02,Lidera
147,Lorengau,PG,84.96,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
149,Butaritari,KI,82.04,clear sky,3.0707,172.7902,Isles Sunset Lodge
152,Tabuk,PH,76.24,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
155,Marshall,US,80.31,clear sky,34.3834,-86.3333,Riverview Campground
